id,author,source,content,feature,title,url
30415,史霄萌,新华社,　　新华社联合国５月１１日电（记者史霄萌）中国常驻联合国副代表吴海涛１１日表示，中方将继续与国际社会一道，积极推进国际反恐合作，完善国际防扩散体系，共同维护世界和平与稳定。\n　　联合国安理会当天举行“伊斯兰国”和“基地”组织制裁委员会、反恐委员会和防扩散委员会联合通报会。吴海涛在会上发言说，“伊斯兰国”、“基地”组织等恐怖势力严重威胁国际和平与安全，各国反恐能力建设和国际反恐合作亟待加强，防止大规模杀伤性武器及其运载工具的扩散成为国际社会共同任务。在此形势下，国际社会应加强合作、综合施策、有效应对。\n　　吴海涛说，“伊斯兰国”和“基地”组织制裁委员会作为安理会的重要反恐机制，在评估恐怖组织威胁情况、加强制裁措施、确保切实执行安理会有关决议方面具有重要作用。中方希望委员会加强同当事国沟通，同区域及次区域反恐机制合作，支持有关国家和区域组织反恐能力建设。\n　　吴海涛还说，反恐委员会在反恐执行局支持下，在推动全面落实安理会有关决议、跟踪恐怖主义新威胁和发展趋势、向有关国家提供反恐技术协助等方面发挥了重要作用。中方支持反恐委员会继续关注打击恐怖组织利用互联网从事恐怖活动和恐怖融资问题，欢迎反恐委员会向安理会提交打击恐怖主义宣传全面国际框架建议。\n　　吴海涛表示，防止大规模杀伤性武器及其运载工具的扩散是国际社会面临的共同挑战，也是全球治理的重要组成部分。下阶段，防扩散委员会应在安理会相关决议和委员会工作计划指导下，坚持成员国在防扩散工作中的主导地位，避免建立新的机制，着重满足发展中国家援助需求，加强各国执行决议能力建设。（完）,"{""type"":""政治法律"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2056592-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""联合国－国际反恐"",""summary"":""　　新华社联合国５月１１日电（记者史霄萌）中国常驻联合国副代表吴海涛１１日表示，中方将继续与国际社会一道，积极推进国际反恐合作，完善国际防扩散体系，共同维护世界和平与稳定。 　　联合国安理会当天举行“伊斯兰国”和“基地”组织制裁委员会、反恐委员会和防扩散委员会"",""rich_label"":""[ 国际反恐 ,  伊斯兰国 ,  合作 ,  反恐委员会 ,  运载工具 ,  安理会 ,  恐怖组织 ,  杀伤性 ,  海涛 ,  扩散 ,  决议 ]"",""all_type"":""文字,中文亚太线\r\n文字,对外中文专线\r\n文字,BL广播\r\n文字,通稿新闻线路,国际(文)\r\n"",""issuing_department"":""国际部-发稿中心"",""id"":""2056592"",""no"":""200012017051201837689"",""word_count"":""665"",""related_areas"":"""",""reported_area"":""""}",（国际）中国代表说中方将积极推进国际反恐合作,http://home.xinhua-news.com/gdsdetailxhsnew/2056592-?pageflag=init&imageOrVedioTypeGdsId=
19123,郭昱,新华社,新华社照片，耶路撒冷，2017年5月21日\n（国际）（1）以色列举行声光秀庆祝“耶路撒冷日”\n5月21日，观众在耶路撒冷老城外观看“耶路撒冷日”声光秀。\n当日，以色列在耶路撒冷老城外举办大规模声光秀，庆祝“耶路撒冷日”。以色列庆祝“耶路撒冷日”是为了纪念在1967年第三次中东战争中夺得耶路撒冷全城控制权。耶路撒冷地位问题是巴以和谈的关键之一。以色列1967年占领东耶路撒冷后将其吞并，并单方面宣布整个耶路撒冷是其永久的不可分割的首都，但至今未得到国际社会认可；而巴勒斯坦方面则一直要求将东耶路撒冷作为其未来国家的首都。\n新华社记者郭昱摄,"{""type"":""政治法律"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2116202-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，耶路撒冷，2017年5月21日 （国际）（1）以色列举行声光秀庆祝“耶路撒冷日” 5月21日，观众在耶路撒冷老城外观看“耶路撒冷日”声光秀。 当日，以色列在耶路撒冷老城外举办大规模声光秀，庆祝“耶路撒冷日”。以色列庆祝“耶路撒冷日”是为了纪念在19"",""rich_label"":""[ 耶路撒冷 ,  声光 ,  以色列 ,  不可分割 ,  巴勒斯坦 ,  庆祝 ,  第三次中东战争 ,  控制权 ,  吞并 ,  首都 ,  全城 ]"",""all_type"":""图片,对外中文图片专线\r\n图片,图片通稿线路,国际(图)\r\n"",""issuing_department"":""北美总分社"",""id"":""2116202"",""no"":""200012017052200030174"",""word_count"":""285"",""related_areas"":""耶路撒冷"",""reported_area"":""JERUSALEM"",""imgUrls"":""http://img.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/59225af9f3e824d5c833b3e0_348x226!.jpg""}",（国际）（1）以色列举行声光秀庆祝“耶路撒冷日”,http://home.xinhua-news.com/gdsdetailxhsnew/2116202-?pageflag=init&imageOrVedioTypeGdsId=
38957,夏勇,新华社,北京市预警中心、北京市气象台４日５时３０分发布“沙尘蓝色预警信号”，受上游沙尘暴和扬沙天气影响，预计４日早晨到白天，北京市有浮尘或扬沙天气，能见度明显下降。记者：王君璐编辑：夏勇,"{""type"":""其它"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2012030-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""-"",""summary"":""北京市预警中心、北京市气象台４日５时３０分发布“沙尘蓝色预警信号”，受上游沙尘暴和扬沙天气影响，预计４日早晨到白天，北京市有浮尘或扬沙天气，能见度明显下降。记者：王君璐编辑：夏勇"",""rich_label"":""[ 浮尘 ,  污染物 ,  北京市气象台 ,  过境 ,  北京市 ,  沙尘暴 ,  扬沙 ,  能见度 ,  预警 ,  天气 ,  信号 ,  下降 ]"",""all_type"":""新媒体,新媒体专线,新华视频\r\n"",""issuing_department"":"""",""id"":""2012030"",""no"":""200012017050402035239"",""word_count"":""89"",""related_areas"":"""",""reported_area"":"""",""imgUrls"":""http://img03.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/590b22a0f3e8d63de510b615_348x226!.jpg""}",外来浮尘过境北京 首要污染物为ＰＭ１０,http://home.xinhua-news.com/gdsdetailxhsnew/2012030-?pageflag=init&imageOrVedioTypeGdsId=
61159,刘春涛,新华社,新华社照片，达卡，2017年4月14日\n（国际）（2）孟加拉国迎来孟历新年\n4月14日，在孟加拉国达卡，人们参加新年游行活动。\n孟加拉国14日迎来孟历新年，人们举行各种活动庆祝新年。\n新华社记者刘春涛摄,"{""type"":""政治法律"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/1881955-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，达卡，2017年4月14日 （国际）（2）孟加拉国迎来孟历新年 4月14日，在孟加拉国达卡，人们参加新年游行活动。 孟加拉国14日迎来孟历新年，人们举行各种活动庆祝新年。 新华社记者刘春涛摄"",""rich_label"":""[ 孟加拉国 ,  游行 ,  孟历 ,  迎来 ,  国际 ,  达卡 ,  人们 ,  庆祝 ,  活动 ,  参加 ,  举行 ]"",""all_type"":""图片,对外中文图片专线\r\n图片,图片通稿线路,国际(图)\r\n"",""issuing_department"":""摄影部-发稿中心"",""id"":""1881955"",""no"":""200012017041401587839"",""word_count"":""117"",""related_areas"":""达卡"",""reported_area"":""Bangladesh"",""imgUrls"":""http://img03.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/58f0df46f3e86d02ad49db8c_348x226!.jpg""}",（国际）（2）孟加拉国迎来孟历新年,http://home.xinhua-news.com/gdsdetailxhsnew/1881955-?pageflag=init&imageOrVedioTypeGdsId=
51941,邓刚（贵州）,新华社,新华社照片，安顺（贵州），2017年4月22日\n贵州安顺：壮观的高台地戏\n4月22日，民间艺人在贵州省镇宁县夜郎洞景区表演高台地戏。\n高台地戏演出时将几十张桌子以金字塔状叠起，摆成阵式表演。表演主要由男性演员承担，演员一身“古装”打扮，在锣鼓伴奏以及鞭炮、黄烟等道具的映衬下，演绎古代战争场景，颇为壮观、极具特色。\n新华社发（邓刚摄）,"{""type"":""文化娱乐"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/1943789-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""总汇"",""summary"":""新华社照片，安顺（贵州），2017年4月22日 贵州安顺：壮观的高台地戏 4月22日，民间艺人在贵州省镇宁县夜郎洞景区表演高台地戏。 高台地戏演出时将几十张桌子以金字塔状叠起，摆成阵式表演。表演主要由男性演员承担，演员一身“古装”打扮，在锣鼓伴奏以及鞭炮、黄烟"",""rich_label"":""[ 金字塔 ,  表演 ,  阵式 ,  演员 ,  黄烟 ,  安顺 ,  民间艺人 ,  贵州省 ,  文化 ,  夜郎 ,  鞭炮 ,  锣鼓 ]"",""all_type"":""图片,图片通稿线路,文化(图)\r\n图片,对外中文图片专线\r\n"",""issuing_department"":""摄影部-发稿中心"",""id"":""1943789"",""no"":""200012017042202270180"",""word_count"":""184"",""related_areas"":""安顺（贵州）"",""reported_area"":"""",""imgUrls"":""http://img02.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/58fb4812f3e89635b138ef90_348x226!.jpg""}",#（文化）（5）贵州安顺：壮观的高台地戏,http://home.xinhua-news.com/gdsdetailxhsnew/1943789-?pageflag=init&imageOrVedioTypeGdsId=
62402,技术局,新华社,\n　　今日无改稿。\n\n　　新华社技术局,"{""type"":""其它"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/1872652-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""其它"",""summary"":""　　今日无改稿。 　　新华社技术局"",""rich_label"":""[]"",""all_type"":""文字,通稿新闻线路,其它\r\n"",""issuing_department"":""技术局-中文发稿室"",""id"":""1872652"",""no"":""200012017041400143031"",""word_count"":""16"",""related_areas"":"""",""reported_area"":""""}",通稿新闻改稿目录,http://home.xinhua-news.com/gdsdetailxhsnew/1872652-?pageflag=init&imageOrVedioTypeGdsId=
28223,JUANJO MARTIN,新华社,新华社照片，外代，2017年5月14日\n（外代二线）网球——马德里公开赛：蒂姆晋级决赛\n5月13日，乌拉圭选手奎瓦斯在比赛中回球。\n当日，在马德里网球公开赛男单半决赛中，奥地利选手蒂姆以2比0战胜乌拉圭选手奎瓦斯，晋级决赛。\n新华社/欧新\n,"{""type"":""网球"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2069152-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，外代，2017年5月14日 （外代二线）网球——马德里公开赛：蒂姆晋级决赛 5月13日，乌拉圭选手奎瓦斯在比赛中回球。 当日，在马德里网球公开赛男单半决赛中，奥地利选手蒂姆以2比0战胜乌拉圭选手奎瓦斯，晋级决赛。 新华社/欧新"",""rich_label"":""[ 马德里公开赛 ,  马德里 ,  奥地利选手 ,  公开赛 ,  蒂姆 ,  乌拉圭 ,  网球 ,  晋级 ,  半决赛 ,  选手 ,  回球 ,  男单 ]"",""all_type"":""图片,外代图片二线\r\n"",""issuing_department"":""摄影部-国际照片编辑室"",""id"":""2069152"",""no"":""200012017051400489983"",""word_count"":""136"",""related_areas"":""MADRID"",""reported_area"":"""",""imgUrls"":""http://img02.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/5917c801f3e8d63de51575d8_348x226!.jpg""}",[6]（外代二线）网球——马德里公开赛：蒂姆晋级决赛,http://home.xinhua-news.com/gdsdetailxhsnew/2069152-?pageflag=init&imageOrVedioTypeGdsId=
27086,乌尔里希·胡夫纳格尔,新华社,新华社照片，科隆（德国），2017年5月15日\n（体育）（5）冰球——世锦赛小组赛：美国胜斯洛伐克\n5月14日，斯洛伐克队球员在比赛中庆祝破门得分。\n当日，在德国科隆举行的2017冰球世界锦标赛A组比赛中，美国队以6比1战胜斯洛伐克队。\n新华社发（乌尔里希·胡夫纳格尔摄）,"{""type"":""体育"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2074420-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""足球"",""summary"":""新华社照片，科隆（德国），2017年5月15日 （体育）（5）冰球——世锦赛小组赛：美国胜斯洛伐克 5月14日，斯洛伐克队球员在比赛中庆祝破门得分。 当日，在德国科隆举行的2017冰球世界锦标赛A组比赛中，美国队以6比1战胜斯洛伐克队。 新华社发（乌尔里希·胡"",""rich_label"":""[ 斯洛伐克 ,  美国胜 ,  冰球 ,  小组赛 ,  世界锦标赛 ,  世锦赛 ,  体育 ,  美国队 ,  科隆 ,  破门 ,  得分 ,  比赛 ,  庆祝 ,  球员 ]"",""all_type"":""图片,对外体育中文图片专线\r\n图片,对外中文图片专线\r\n图片,体育图片专线\r\n"",""issuing_department"":""摄影部-体育照片采编室"",""id"":""2074420"",""no"":""200012017051501311594"",""word_count"":""154"",""related_areas"":""德国"",""reported_area"":"""",""imgUrls"":""http://img03.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/59191791f3e889f52702f6b4_348x226!.jpg""}",（体育）（5）冰球——世锦赛小组赛：美国胜斯洛伐克,http://home.xinhua-news.com/gdsdetailxhsnew/2074420-?pageflag=init&imageOrVedioTypeGdsId=
62526,陈雷（河北）,新华社,新华社照片，清河（河北），2017年4月13日\n河北清河：新能源汽车产销量两旺\n4月13日，河北省清河县一家新能源汽车公司的工人在为新生产的电动汽车充电。\n清河县位于河北省东南部，汽车及零部件产业是该县的支柱产业。近年来，清河县加快产业转型升级步伐，大力发展新能源汽车产业。2016年，该县生产的电动微型轿车、微型越野车、商用微型车、厢式物流车等新能源汽车销售近10万辆，产品俏销国内各地。2017年一季度，当地新能源汽车订单持续增长，产销两旺。\n新华社发（陈雷摄）,"{""type"":""汽车"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/1872150-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""总汇"",""summary"":""新华社照片，清河（河北），2017年4月13日 河北清河：新能源汽车产销量两旺 4月13日，河北省清河县一家新能源汽车公司的工人在为新生产的电动汽车充电。 清河县位于河北省东南部，汽车及零部件产业是该县的支柱产业。近年来，清河县加快产业转型升级步伐，大力发展新"",""rich_label"":""[ 新能源汽车 ,  产销量 ,  电动汽车 ,  支柱产业 ,  河北省 ,  越野车 ,  微型车 ,  俏销 ]"",""all_type"":""图片,图片通稿线路,经济(图)\r\n图片,对外中文图片专线\r\n"",""issuing_department"":""摄影部-发稿中心"",""id"":""1872150"",""no"":""200012017041307337087"",""word_count"":""250"",""related_areas"":""邢台（河北）"",""reported_area"":"""",""imgUrls"":""http://img01.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/58f03b0ef3e802477cc634a8_348x226!.jpg""}",#（经济）（4）河北清河：新能源汽车产销量两旺,http://home.xinhua-news.com/gdsdetailxhsnew/1872150-?pageflag=init&imageOrVedioTypeGdsId=
82628,,中国证券网,"　　中国证券网讯 22日早盘，上海国资改革板块拉升，截至发稿，交运股份直线涨停，大众交通涨4.56%，强生控股、张江高科、上海家化等个股均有拉升表现。
　　据证券日报报道，6月15日，上海市国资委官网发布《关于本市地方国有控股混合所有制企业开展第一批员工持股试点的通知》，通知公布了第一批试点名单共四家企业，分别是上海电气国轩新能源科技有限公司、上海齐程网络科技有限公司、上海久事智慧体育有限公司、上海新金桥环保有限公司。
　　对此，市场人士普遍认为，上海国资国企改革一直走在全国前列，近几年改革成效显著。其中，2016年上海地方国有企业实现营业收入3.1万亿元、利润总额3058亿元，均排名全国省市和计划单列市之首。2017年下半年，地方国企改革相关投资机会，首要还是盯住上海，现在仍然是布局良机。
　　投资机会方面，分析人士指出，2018年将是国企混改的成效检验年，2017年重要领域国企实质性改革步伐将加大，地方国企改革热点将扩散，尤其是上海国企改革较为显著，目前，今年首批上海国企员工持股试点企业名单揭晓，预示着上海国企混改提速。下半年配置方面，上海国资改革中，资产证券化、国资流动平台资本运作、股权流转是上海国企改革主题下较好的三个投资方向，相关龙头标的有望迎交易性机会。建议关注：开创国际、华虹计通、龙头股份、交运股份、隧道股份、氯碱化工等。
","{""type"":""即时播报"",""site"":""中证网"",""commentNum"":""0"",""joinNum"":""0"",""clickNum"":""0"",""shareNum"":""0"",""url"":""http://www.cs.com.cn/sylm/jsxw/201706/t20170622_5336753.html"",""site_sign"":""Cs"",""label"":"""",""summary"":"""",""is_hot"":""0"",""imgUrls"":""""}",上海国资改革板块拉升 交运股份直线涨停,http://www.cs.com.cn/sylm/jsxw/201706/t20170622_5336753.html
74567,林昊,新华社,　　新华社专电　澳大利亚媒体报道，澳总理托尼·阿博特上月与印度尼西亚总统苏西洛·班邦·尤多约诺通电话时，印尼方面违反外交礼节，允许记者“旁听”。\n　　阿博特３日试图淡化这一报道，强调重要的是两国领导人谈话的质量。\n　　澳大利亚广播公司在报道中说，这家媒体驻雅加达的记者确认，苏西洛与阿博特通话时，一些印尼记者留在苏西洛的房间内。其中一名记者录下了谈话内容，并把文字记录发布在互联网上。\n　　澳大利亚广播公司说，高级别的印尼政府消息人士证实通话记录准确。按这些官员的话说，允许记者“旁听”领导人通话是“错误”。\n　　阿博特与苏西洛当时在电话中商讨会面时间。两人定于本月４日在印尼的巴淡岛会晤。\n　　当被问及印尼的做法是否违反外交礼节，阿博特没有正面回应。他说：“听着，我当时正与（印尼）总统进行非常友好的谈话，而且我可以说总统非常愿意与我进行热情交谈。”\n　　“重要的是谈话的质量，那是重要的事情，”阿博特说。\n　　按法新社的说法，受到监听事件和偷渡议题方面的影响，澳大利亚和印尼的关系处于低谷，阿博特眼下正试图修复两国关系。\n　　去年年底，一些媒体报道澳大利亚曾监听苏西洛和他的妻子以及数名印尼官员，印尼一度召回驻澳大利亚大使。另外，澳大利亚海军拦截偷渡船时多次侵犯印尼领海，引发印尼方面不满。（完）,"{""type"":""政治法律"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/1769381-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""澳大利亚"",""summary"":""　　新华社专电　澳大利亚媒体报道，澳总理托尼·阿博特上月与印度尼西亚总统苏西洛·班邦·尤多约诺通电话时，印尼方面违反外交礼节，允许记者“旁听”。 　　阿博特３日试图淡化这一报道，强调重要的是两国领导人谈话的质量。 　　澳大利亚广播公司在报道中说，这家媒体驻雅加"",""rich_label"":""[]"",""all_type"":""文字,国际特稿专线\r\n"",""issuing_department"":""国际部-专稿要闻组"",""id"":""1769381"",""no"":""200012017033103191849"",""word_count"":""542"",""related_areas"":"""",""reported_area"":""""}",印尼媒体“旁听”总统与澳总理通话,http://home.xinhua-news.com/gdsdetailxhsnew/1769381-?pageflag=init&imageOrVedioTypeGdsId=
31738,Sputnik,新华社,新华社照片，外代，2017年5月11日\n（外代二线）俄罗斯大雁之都--科洛戈里夫\n5月5日，灰雁栖息在俄罗斯克斯特罗马州科洛戈里夫河滩鸟类保护区。\n新华社/卫星社,"{""type"":""其它"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2050200-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，外代，2017年5月11日 （外代二线）俄罗斯大雁之都--科洛戈里夫 5月5日，灰雁栖息在俄罗斯克斯特罗马州科洛戈里夫河滩鸟类保护区。 新华社/卫星社"",""rich_label"":""[ 科洛戈 ,  河滩 ,  俄罗斯 ,  大雁 ,  保护区 ,  灰雁 ,  栖息 ,  鸟类 ]"",""all_type"":""图片,外代图片二线\r\n"",""issuing_department"":""摄影部-国际照片编辑室"",""id"":""2050200"",""no"":""200012017051101194563"",""word_count"":""94"",""related_areas"":""俄罗斯"",""reported_area"":"""",""imgUrls"":""http://img.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/5913d70cf3e8d63de513d98f_348x226!.jpg""}",[10]（外代二线）俄罗斯大雁之都--科洛戈里夫,http://home.xinhua-news.com/gdsdetailxhsnew/2050200-?pageflag=init&imageOrVedioTypeGdsId=
18180,BEN STANSALL,新华社,新华社照片，外代，2017年5月23日\n（外代二线）多彩的切尔西花展\n这是5月22日在英国伦敦切尔西花展上拍摄的“摩根士丹利花园”。\n一年一度的切尔西花展由英国皇家园艺学会主办，是英国最盛大也是全球最著名的园艺博览会之一。本届花展将于本月23日对公众开放。\n新华社/法新\n\n,"{""type"":""文化娱乐"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2120399-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，外代，2017年5月23日 （外代二线）多彩的切尔西花展 这是5月22日在英国伦敦切尔西花展上拍摄的“摩根士丹利花园”。 一年一度的切尔西花展由英国皇家园艺学会主办，是英国最盛大也是全球最著名的园艺博览会之一。本届花展将于本月23日对公众开放。 新"",""rich_label"":""[ 花展 ,  切尔西 ,  英国伦敦 ,  一年一度 ,  摩根士丹利 ,  博览会 ,  园艺 ,  拍摄 ,  花园 ,  公众 ,  开放 ,  主办 ,  全球 ]"",""all_type"":""图片,外代图片二线\r\n"",""issuing_department"":""摄影部-国际照片编辑室"",""id"":""2120399"",""no"":""200012017052300015550"",""word_count"":""154"",""related_areas"":""London"",""reported_area"":"""",""imgUrls"":""http://img01.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/5923966af3e8e173f4ce113f_348x226!.jpg""}",[13]（外代二线）多彩的切尔西花展,http://home.xinhua-news.com/gdsdetailxhsnew/2120399-?pageflag=init&imageOrVedioTypeGdsId=
16370,Sputnik,新华社,新华社照片，外代，2017年5月24日\n（外代二线）“最后的铃声”毕业典礼\n5月23日，在俄罗斯叶卡捷琳堡市，第9中学的毕业生参加“最后的铃声”毕业典礼庆祝活动。\n新华社/卫星社,"{""type"":""其它"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2129489-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，外代，2017年5月24日 （外代二线）“最后的铃声”毕业典礼 5月23日，在俄罗斯叶卡捷琳堡市，第9中学的毕业生参加“最后的铃声”毕业典礼庆祝活动。 新华社/卫星社"",""rich_label"":""[ 毕业典礼 ,  最后的铃声 ,  毕业生 ,  庆祝 ,  中学 ,  参加 ,  活动 ]"",""all_type"":""图片,外代图片二线\r\n"",""issuing_department"":""摄影部-国际照片编辑室"",""id"":""2129489"",""no"":""200012017052400031871"",""word_count"":""101"",""related_areas"":""叶卡捷琳堡"",""reported_area"":"""",""imgUrls"":""http://img01.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/59253742f3e824d5c834d5df_348x226!.jpg""}",[8]（外代二线）“最后的铃声”毕业典礼,http://home.xinhua-news.com/gdsdetailxhsnew/2129489-?pageflag=init&imageOrVedioTypeGdsId=
40503,FADEL SENNA,新华社,新华社照片，外代，2017年5月3日\n（外代二线）巴巴利猕猴\n4月15日，在摩洛哥阿特拉斯山脉的艾兹鲁，一只巴巴利猕猴在树林里玩耍。\n这种猕猴曾在北非和欧洲部分地区广泛存在，但现正在利比亚和突尼斯等国家消失，只在阿尔及利亚和摩洛哥北部山区有限地区活动。\n新华社/法新\n\n,"{""type"":""社会"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2004468-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，外代，2017年5月3日 （外代二线）巴巴利猕猴 4月15日，在摩洛哥阿特拉斯山脉的艾兹鲁，一只巴巴利猕猴在树林里玩耍。 这种猕猴曾在北非和欧洲部分地区广泛存在，但现正在利比亚和突尼斯等国家消失，只在阿尔及利亚和摩洛哥北部山区有限地区活动。 新华社"",""rich_label"":""[ 巴巴利猕猴 ,  摩洛哥 ,  猕猴 ,  艾兹鲁 ,  阿尔及利亚 ,  突尼斯 ,  利比亚 ,  玩耍 ,  北非 ,  山脉 ,  树林 ,  山区 ]"",""all_type"":""图片,外代图片二线\r\n"",""issuing_department"":""摄影部-国际照片编辑室"",""id"":""2004468"",""no"":""200012017050300914703"",""word_count"":""151"",""related_areas"":""Azrou"",""reported_area"":"""",""imgUrls"":""http://img03.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/59099207f3e8d63de510136a_348x226!.jpg""}",[15]（外代二线）巴巴利猕猴,http://home.xinhua-news.com/gdsdetailxhsnew/2004468-?pageflag=init&imageOrVedioTypeGdsId=
35176,Nick Turchiaro,新华社,新华社照片，外代，2017年5月8日\n（外代二线）篮球——NBA季后赛：骑士淘汰猛龙\n5月7日，猛龙队球员德罗赞运球。\n当日，在2016-2017赛季NBA季后赛东部半决赛第四场比赛中，克利夫兰骑士队客场以109比102战胜多伦多猛龙队，从而以4比0的总比分淘汰对手，晋级东部决赛。\n新华社/路透,"{""type"":""篮球"",""site"":""新华社"",""url"":""http://home.xinhua-news.com/gdsdetailxhsnew/2032488-?pageflag=init&imageOrVedioTypeGdsId="",""site_sign"":""xinhua"",""keywords"":""国际"",""summary"":""新华社照片，外代，2017年5月8日 （外代二线）篮球——NBA季后赛：骑士淘汰猛龙 5月7日，猛龙队球员德罗赞运球。 当日，在2016-2017赛季NBA季后赛东部半决赛第四场比赛中，克利夫兰骑士队客场以109比102战胜多伦多猛龙队，从而以4比0的总比分淘"",""rich_label"":""[ 篮球 ,  季后赛 ,  克利夫兰骑士 ,  猛龙 ,  半决赛 ,  骑士 ,  淘汰 ,  德罗 ,  客场 ,  赛季 ,  比分 ]"",""all_type"":""图片,外代图片二线\r\n"",""issuing_department"":""摄影部-国际照片编辑室"",""id"":""2032488"",""no"":""200012017050801537162"",""word_count"":""167"",""related_areas"":""Toronto"",""reported_area"":"""",""imgUrls"":""http://img03.static.xinhua-news.com/imageServer/image/bba04f1f3972a8b1/591015f8f3e8d63de51256f7_348x226!.jpg""}",[2]（外代二线）篮球——NBA季后赛：骑士淘汰猛龙,http://home.xinhua-news.com/gdsdetailxhsnew/2032488-?pageflag=init&imageOrVedioTypeGdsId=
